Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
29,57,18,1.0,6.0,2012.0,29.0,57.0,18.0,1.0,0
29,61,13,2.0,6.0,2012.0,29.0,61.0,13.0,2.0,0
26,82,22,3.0,6.0,2012.0,26.0,82.0,22.0,3.0,0
25,89,13,4.0,6.0,2012.0,25.0,89.0,13.0,4.0,0
27,77,16,5.0,6.0,2012.0,27.0,77.0,16.0,5.0,0
31,67,14,6.0,6.0,2012.0,31.0,67.0,14.0,6.0,1
33,54,13,7.0,6.0,2012.0,33.0,54.0,13.0,7.0,1
30,73,15,8.0,6.0,2012.0,30.0,73.0,15.0,8.0,1
25,88,13,9.0,6.0,2012.0,25.0,88.0,13.0,9.0,0
28,79,12,10.0,6.0,2012.0,28.0,79.0,12.0,10.0,0
31,65,14,11.0,6.0,2012.0,31.0,65.0,14.0,11.0,1
26,81,19,12.0,6.0,2012.0,26.0,81.0,19.0,12.0,1
27,84,21,13.0,6.0,2012.0,27.0,84.0,21.0,13.0,0
30,78,20,14.0,6.0,2012.0,30.0,78.0,20.0,14.0,0
28,80,17,15.0,6.0,2012.0,28.0,80.0,17.0,15.0,0
29,89,13,16.0,6.0,2012.0,29.0,89.0,13.0,16.0,0
30,89,16,17.0,6.0,2012.0,30.0,89.0,16.0,17.0,0
31,78,14,18.0,6.0,2012.0,31.0,78.0,14.0,18.0,0
31,55,16,19.0,6.0,2012.0,31.0,55.0,16.0,19.0,0
30,80,16,20.0,6.0,2012.0,30.0,80.0,16.0,20.0,0
30,78,14,21.0,6.0,2012.0,30.0,78.0,14.0,21.0,1
31,67,17,22.0,6.0,2012.0,31.0,67.0,17.0,22.0,0
32,62,18,23.0,6.0,2012.0,32.0,62.0,18.0,23.0,1
32,66,17,24.0,6.0,2012.0,32.0,66.0,17.0,24.0,1
31,64,15,25.0,6.0,2012.0,31.0,64.0,15.0,25.0,1
31,64,18,26.0,6.0,2012.0,31.0,64.0,18.0,26.0,1
34,53,18,27.0,6.0,2012.0,34.0,53.0,18.0,27.0,1
32,55,14,28.0,6.0,2012.0,32.0,55.0,14.0,28.0,1
32,47,13,29.0,6.0,2012.0,32.0,47.0,13.0,29.0,0
33,50,14,30.0,6.0,2012.0,33.0,50.0,14.0,30.0,1
29,68,19,1.0,7.0,2012.0,29.0,68.0,19.0,1.0,0
27,75,19,2.0,7.0,2012.0,27.0,75.0,19.0,2.0,0
32,76,20,3.0,7.0,2012.0,32.0,76.0,20.0,3.0,0
33,78,17,4.0,7.0,2012.0,33.0,78.0,17.0,4.0,0
33,66,14,5.0,7.0,2012.0,33.0,66.0,14.0,5.0,1
32,63,14,6.0,7.0,2012.0,32.0,63.0,14.0,6.0,1
35,64,18,7.0,7.0,2012.0,35.0,64.0,18.0,7.0,0
33,68,19,8.0,7.0,2012.0,33.0,68.0,19.0,8.0,1
